Temp Irradiance TheoV PredV TheoP PreP
298.55 191.0 0.465 0.45514506514621045 0.667634199506 0.6650294507380133
298.25 166.0 0.461 0.4527997051327908 0.575193759725 0.57354915664064
298.25 150.0 0.459 0.45137243097524204 0.516830892106 0.5156833620458148
298.05 175.0 0.462 0.45374269866332195 0.607744889434 0.6059989630377163
297.85 360.0 0.479 0.47107985733038893 1.29921138362 1.2957473950878389
298.05 614.0 0.492 0.4949094624474635 2.28039931486 2.2798130000798187
298.15 592.0 0.492 0.4928540659779487 2.19528678487 2.1951751709931773
298.15 562.0 0.49 0.4900453856716071 2.07839560523 2.0783994970714965
297.95 575.0 0.491 0.49122035884088056 2.12759107133 2.127574897593507
297.65 621.0 0.492 0.495458259229984 2.30467770054 2.303478863120752
298.05 694.0 0.495 0.5023338231399892 2.59388472581 2.5880282987095624
297.75 689.0 0.495 0.5017454782870676 2.57166531629 2.565670903815982
297.85 693.0 0.495 0.5020826444687291 2.58823979089 2.5821536191789214
297.35 616.0 0.491 0.49475213301734844 2.28284559129 2.2816807274891904
297.65 296.0 0.474 0.4650039582842242 1.05640456598 1.052846740588178
297.35 383.0 0.48 0.47309591793855793 1.38444643963 1.3818145307706933
297.25 392.0 0.48 0.4739559599625832 1.41824426757 1.415891878619162
297.45 345.0 0.478 0.4696625788730556 1.24057700769 1.2374630067572507
297.05 678.0 0.493 0.5005686049682253 2.52256401276 2.5159569495922396
297.05 743.0 0.495 0.5065352181035382 2.77743752897 2.7599937768593796
297.55 531.0 0.488 0.4868796562118664 1.95403097014 1.9538989756736502
297.75 450.0 0.484 0.4794211571167256 1.6427451722 1.6410296120194827
297.35 608.0 0.491 0.4940027941034808 2.25168753621 2.250809291489699
297.15 802.0 0.497 0.5119068552140414 3.01076093421 2.9771835342467314
297.15 797.0 0.497 0.5112706623678056 2.99104918093 2.960096576251973
297.35 815.0 0.498 0.5128016761338838 3.06416576638 3.0291528448461444
297.65 480.0 0.486 0.48194758359670264 1.75763664217 1.7565097850655849
297.65 823.0 0.499 0.513436743012327 3.0989165622 3.064160664784106
296.65 752.0 0.495 0.5065863897029723 2.80905529318 2.7898372398153386
297.25 516.0 0.487 0.4850398273353239 1.89408181503 1.8937840385587694
297.25 755.0 0.496 0.506870377876965 2.82654007976 2.8101198554206777
297.45 816.0 0.498 0.5123652825326784 3.06913393516 3.037389305777723
297.25 839.0 0.499 0.514253529185178 3.15801163587 3.1167299719495714
297.05 834.0 0.498 0.5135770175128908 3.13612281021 3.096202092906533
